"movie_title","duration","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","num_critic_for_reviews","num_user_for_reviews","num_voted_users","cast_total_facebook_likes","movie_facebook_likes","plot_keywords","facenumber_in_poster","color","genres","title_year","language","country","content_rating","aspect_ratio","movie_imdb_link","gross","budget","imdb_score"
"The Pianist ",150,"Roman Polanski",2000,"Emilia Fox",396,"Frank Finlay",338,"Ed Stoppard",95,193,761,497946,1075,21000,"ghetto|holocaust|jewish|piano|warsaw ghetto",0," Black and White","Biography|Drama|War",2002,"English","France","R",1.85,"http://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1",32519322,3.5e+07,8.5
"Grown Ups ",102,"Dennis Dugan",221,"Steve Buscemi",12000,"Adam Sandler",11000,"Salma Hayek",4000,179,311,181443,28497,12000,"basketball|coach|daughter|high school|high school basketball",4,"Color","Comedy",2010,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1375670/?ref_=fn_tt_tt_1",162001186,8e+07,6
"Something's Gotta Give ",128,"Nancy Meyers",278,"Keanu Reeves",18000,"Jon Favreau",4000,"Paul Michael Glaser",343,145,402,91092,22679,0,"beach|dating|doctor|heart attack|weekend",1,"Color","Comedy|Drama|Romance",2003,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0337741/?ref_=fn_tt_tt_1",124590960,8e+07,6.7
"The Road to El Dorado ",89,"Bibo Bergeron",10,"Frank Welker",2000,"Rosie Perez",919,"Elton John",442,82,139,58300,3372,0,"adventurer|el dorado|gold|high priest|implied sex",1,"Color","Adventure|Animation|Comedy|Family|Romance",2000,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0138749/?ref_=fn_tt_tt_1",50802661,9.5e+07,6.9
"Harriet the Spy ",100,"Bronwen Hughes",15,"Gregory Smith",694,"Eartha Kitt",558,"Charlotte Sullivan",388,25,42,7984,2486,833,"binoculars|child spy|notebook|secret|spy",1,"Color","Comedy|Drama|Family",1996,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0116493/?ref_=fn_tt_tt_1",26539321,1.3e+07,5.9
"Mad City ",115,"Costa-Gavras",333,"Mia Kirshner",972,"Blythe Danner",713,"William Atherton",317,59,73,16562,2606,697,"hostage|museum|natural history museum|news reporter|reporter",2,"Color","Crime|Drama|Thriller",1997,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0119592/?ref_=fn_tt_tt_1",10556196,5e+07,6.2
"The Original Kings of Comedy ",115,"Spike Lee",0,"Bernie Mac",1000,"Cedric the Entertainer",436,"Steve Harvey",360,53,83,4687,1964,290,"backstage|comedian|concert film|emcee|stand up comedian",0,"Color","Comedy|Documentary",2000,"English","USA","R",1.85,"http://www.imdb.com/title/tt0236388/?ref_=fn_tt_tt_1",38168022,3e+06,6.6
"28 Days ",103,"Betty Thomas",84,"Steve Buscemi",12000,"Viggo Mortensen",10000,"Elizabeth Perkins",664,116,194,34597,23864,0,"12 step program|box office hit|car accident|vomiting|wedding",1,"Color","Comedy|Drama",2000,"English","USA","PG-13",1.37,"http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1",37035515,4.3e+07,6
"Mo' Better Blues ",129,"Spike Lee",0,"Denzel Washington",18000,"Nicholas Turturro",269,"Charlie Murphy",203,23,30,8295,19065,720,"comeback|friend|jazz|stage|trumpet",1,"Color","Drama|Music|Romance",1990,"English","USA","R",1.85,"http://www.imdb.com/title/tt0100168/?ref_=fn_tt_tt_1",16153600,1e+07,6.5
"Excessive Force ",87,"Jon Hess",29,"Burt Young",683,"Ian Gomez",155,"Thomas Ian Griffith",147,19,23,922,1139,107,"exercise bicycle|face in food|police|police brutality|policeman",1,"Color","Action",1993,"English","USA","R",1.85,"http://www.imdb.com/title/tt0104215/?ref_=fn_tt_tt_1",1200000,3e+06,5.1
"Blended ",117,"Frank Coraci",153,"Bella Thorne",35000,"Adam Sandler",11000,"Joel McHale",734,173,184,87165,49743,12000,"blind date|children|date|daughter|son",0,"Color","Comedy|Romance",2014,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1086772/?ref_=fn_tt_tt_1",46280507,4e+07,6.5
"The Adjustment Bureau ",106,"George Nolfi",53,"Matt Damon",13000,"Michael Kelly",963,"Jon Stewart",593,413,407,200035,14607,36000,"love at first sight|obscene finger gesture|rain|teleportation|three word title",2,"Color","Romance|Sci-Fi|Thriller",2011,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1385826/?ref_=fn_tt_tt_1",62453315,50200000,7.1
"Inspector Gadget ",110,"David Kellogg",16,"Matthew Broderick",2000,"Rene Auberjonois",710,"Rupert Everett",692,70,231,36491,5320,509,"actor playing multiple roles|claw|gadget|inspector|police",0,"Color","Action|Adventure|Comedy|Family|Sci-Fi",1999,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0141369/?ref_=fn_tt_tt_1",97360069,7.5e+07,4.1
"Kundun ",134,"Martin Scorsese",17000,"Tenzin Thuthob Tsarong",2,"Tulku Jamyang Kunga Tenzin",2,"Tencho Gyalpo",0,85,117,21606,4,0,"chinese|dalai lama|lama|tibet|tibetan",0,"Color","Biography|Drama|History|War",1997,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0119485/?ref_=fn_tt_tt_1",5532301,2.8e+07,7
"How to Lose Friends & Alienate People ",110,"Robert B. Weide",53,"James Corden",480,"Katherine Parkinson",261,"Fenella Woolgar",87,135,98,61269,858,0,"celebrity|party|pig|starlet|writer",4,"Color","Comedy|Drama|Romance",2008,"English","UK","R",1.85,"http://www.imdb.com/title/tt0455538/?ref_=fn_tt_tt_1",2775593,2.7e+07,6.5
"All the Pretty Horses ",220,"Billy Bob Thornton",0,"Matt Damon",13000,"Henry Thomas",861,"Sam Shepard",820,85,183,11388,15006,652,"1940s|cowboy|mexico|railway station|texas",2,"Color","Drama|Romance|Western",2000,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0149624/?ref_=fn_tt_tt_1",15527125,5.7e+07,5.8
"Parental Guidance ",105,"Andy Fickman",99,"Bailee Madison",3000,"Gedde Watanabe",448,"Tom Everett Scott",433,139,107,21176,5740,0,"chores|father figure|helicopter parents|in laws|punishment",5,"Color","Comedy|Family",2012,"English","USA","PG",1.85,"http://www.imdb.com/title/tt1047540/?ref_=fn_tt_tt_1",77264926,2.5e+07,6.1
"Mean Creek ",90,"Jacob Aaron Estes",9,"Rory Culkin",710,"Scott Mechlowicz",634,"Trevor Morgan",595,126,154,26407,2655,1000,"boat|bully|dare|friend|river",0,"Color","Crime|Drama",2004,"English","USA","R",1.85,"http://www.imdb.com/title/tt0377091/?ref_=fn_tt_tt_1",603943,5e+05,7.3
"City of Ember ",90,"Gil Kenan",27,"Bill Murray",13000,"Toby Jones",2000,"Harry Treadaway",260,118,102,52908,15494,0,"box|food|mayor|pipeworks|scientist",0,"Color","Adventure|Family|Fantasy|Sci-Fi",2008,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0970411/?ref_=fn_tt_tt_1",7871693,5.5e+07,6.5
"The Lords of Salem ",101,"Rob Zombie",0,"Sid Haig",1000,"Dee Wallace",725,"Michael Berryman",721,234,166,20376,5158,15000,"blood|flashback|radio dj|radio station|vinyl",1,"Color","Drama|Fantasy|Horror|Thriller",2012,"English","USA","R",2.35,"http://www.imdb.com/title/tt1731697/?ref_=fn_tt_tt_1",1163508,2500000,5.1
"March of the Penguins ",80,"Luc Jacquet",10,"Morgan Freeman",11000,"Sofie Gråbøl",108,"Romane Bohringer",34,169,331,45984,11218,0,"chick|emperor penguin|journey|ocean|penguin",0,"Color","Documentary",2005,"French","France","G",1.85,"http://www.imdb.com/title/tt0428803/?ref_=fn_tt_tt_1",77413017,8e+06,7.6
"Left Behind ",110,"Vic Armstrong",179,"Nicolas Cage",12000,"Lea Thompson",1000,"Quinton Aaron",734,169,374,24854,15044,31000,"bible quote|chaos|faith|riot|shrine",1,"Color","Action|Drama|Fantasy|Mystery|Thriller",2014,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt2467046/?ref_=fn_tt_tt_1",13998282,1.6e+07,3.1
"Micmacs ",105,"Jean-Pierre Jeunet",0,"Omar Sy",1000,"Dany Boon",172,"André Dussollier",52,213,71,24657,1342,0,"bullet|contortionist|gag humor|human cannonball|revenge",4,"Color","Action|Comedy|Crime",2009,"French","France","R",2.35,"http://www.imdb.com/title/tt1149361/?ref_=fn_tt_tt_1",1260917,2.7e+07,7.2
"Rugrats Go Wild ",80,"John Eng",0,"Elizabeth Daily",971,"Cree Summer",503,"Nancy Cartwright",362,45,35,5674,3017,329,"kid|oxygen|rugrats|trapped underwater|underwater",0,"Color","Adventure|Animation|Comedy|Family|Fantasy|Musical",2003,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0337711/?ref_=fn_tt_tt_1",39399750,2.5e+07,5.6
"Hot Fuzz ",121,"Edgar Wright",1000,"Bill Bailey",175,"Joe Cornish",115,"Billie Whitelaw",108,285,687,352695,485,17000,"accident|conspiracy|police|police officer|village",1,"Color","Action|Comedy|Mystery",2007,"English","UK","R",2.35,"http://www.imdb.com/title/tt0425112/?ref_=fn_tt_tt_1",23618786,8e+06,7.9
"Love Jones ",104,"Theodore Witcher",28,"Leonard Roberts",962,"Nia Long",826,"Larenz Tate",582,16,28,2801,3871,1000,"african american|cult film|ex boyfriend|middle class|sex",0,"Color","Drama|Romance",1997,"English","USA","R",1.85,"http://www.imdb.com/title/tt0119572/?ref_=fn_tt_tt_1",12514138,1e+07,7.4
"Hercules ",101,"Brett Ratner",420,"Dwayne Johnson",12000,"Rufus Sewell",3000,"Ingrid Bolsø Berdal",467,245,269,115687,16235,21000,"army|greek mythology|hercules|king|mercenary",0,"Color","Action|Adventure",2014,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1267297/?ref_=fn_tt_tt_1",72660029,1e+08,6
"Thirteen Conversations About One Thing ",104,"Jill Sprecher",11,"Matthew McConaughey",11000,"Rob McElhenney",813,"Amy Irving",194,79,115,8603,12250,430,"attorney|happiness|house cleaner|physics|professor",2,"Color","Drama",2001,"English","USA","R",1.85,"http://www.imdb.com/title/tt0268690/?ref_=fn_tt_tt_1",3287435,4500000,7.1
"Meet Dave ",90,"Brian Robbins",48,"Marc Blucas",973,"Mike O'Malley",400,"Shawn Christian",196,127,109,31640,1865,791,"alien|mutiny|orb|planet|spaceship",1,"Color","Adventure|Comedy|Family|Romance|Sci-Fi",2008,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0765476/?ref_=fn_tt_tt_1",11802056,6e+07,4.9
"Stolen Summer ",91,"Pete Jones",18,"Brian Dennehy",954,"Aidan Quinn",767,"Bonnie Hunt",597,31,55,2419,3901,304,"catholic|catholicism|rabbi|school|summer",1,"Color","Drama",2002,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0286162/?ref_=fn_tt_tt_1",119841,1500000,6.5
"The Lord of the Rings: The Fellowship of the Ring ",171,"Peter Jackson",0,"Christopher Lee",16000,"Orlando Bloom",5000,"Billy Boyd",857,297,5060,1238746,22342,21000,"elf|hobbit|middle earth|quest|ring",2,"Color","Action|Adventure|Drama|Fantasy",2001,"English","New Zealand","PG-13",2.35,"http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1",313837577,9.3e+07,8.8
"A Nightmare on Elm Street ",101,"Wes Craven",0,"Johnny Depp",40000,"Lin Shaye",852,"Amanda Wyss",574,256,668,149285,42918,10000,"freddy krueger|lucid dream|serial killer|slasher|sleep deprivation",1,"Color","Horror",1984,"English","USA","X",1.85,"http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1",26505000,1800000,7.5
"The Indian in the Cupboard ",96,"Frank Oz",0,"Steve Coogan",1000,"Vincent Kartheiser",845,"David Keith",563,25,47,20688,2965,0,"best friend|birthday|boy|friend|magic",1,"Color","Drama|Family|Fantasy",1995,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0113419/?ref_=fn_tt_tt_1",35617599,4.5e+07,5.9
"The Social Network ",120,"David Fincher",21000,"Andrew Garfield",10000,"Dustin Fitzsimons",349,"Marcella Lentz-Pope",81,556,696,479453,10555,74000,"competitiveness|creator|entrepreneur|facebook|intellectual property",0,"Color","Biography|Drama",2010,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1285016/?ref_=fn_tt_tt_1",96917897,4e+07,7.7
"The Hoax ",116,"Lasse Hallström",529,"Hope Davis",442,"Christopher Evan Welch",252,"James Biberi",174,142,74,14581,1134,348,"book|fabrication|fake|hoax|manuscript",0,"Color","Comedy|Drama",2006,"English","USA","R",1.85,"http://www.imdb.com/title/tt0462338/?ref_=fn_tt_tt_1",7156933,2.5e+07,6.7
"Infamous ",118,"Douglas McGrath",41,"Toby Jones",2000,"Isabella Rossellini",812,"Hope Davis",442,129,102,14143,3474,0,"blood|book|cold calculation|murder|writer",4,"Color","Biography|Crime|Drama",2006,"English","USA","R",1.85,"http://www.imdb.com/title/tt0420609/?ref_=fn_tt_tt_1",1150403,1.3e+07,7.1
"Snow Falling on Cedars ",127,"Scott Hicks",96,"Rick Yune",746,"Reeve Carney",602,"Daniel von Bargen",577,95,194,12375,2393,846,"fisherman|japanese|love|trial|washington state",1,"Color","Drama|Mystery|Romance|Thriller",1999,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0120834/?ref_=fn_tt_tt_1",14378353,3.6e+07,6.8
"Dead Poets Society ",128,"Peter Weir",608,"Robin Williams",49000,"Josh Charles",1000,"Kurtwood Smith",1000,96,491,277451,51609,23000,"education|english teacher|poet|professor|student",0,"Color","Comedy|Drama",1989,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0097165/?ref_=fn_tt_tt_1",95860116,16400000,8
"Tadpole ",78,"Gary Winick",56,"Bebe Neuwirth",376,"Aaron Stanford",346,"Ron Rifkin",184,91,101,5178,1144,132,"best friend|boy|french|friend|love",2,"Color","Comedy|Drama|Romance",2000,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0271219/?ref_=fn_tt_tt_1",2882062,150000,6.3
"Leap Year ",100,"Anand Tucker",14,"Adam Scott",3000,"Kaitlin Olson",547,"Dominique McElligott",356,134,181,71276,4094,13000,"ireland|irish|journey|tradition|travel",2,"Color","Comedy|Romance",2010,"English","USA","PG",2.35,"http://www.imdb.com/title/tt1216492/?ref_=fn_tt_tt_1",12561,1.9e+07,6.4
"Big Miracle ",107,"Ken Kwapis",42,"Ted Danson",875,"Tim Blake Nelson",596,"Andrew Daly",171,125,66,15231,1702,0,"arctic circle|reporter|small town|volunteer|whale",3,"Color","Biography|Drama|Romance",2012,"English","USA","PG",2.35,"http://www.imdb.com/title/tt1430615/?ref_=fn_tt_tt_1",20113965,4e+07,6.5
"Valentine's Day ",125,"Garry Marshall",0,"Bradley Cooper",14000,"Taylor Lautner",12000,"Anne Hathaway",11000,186,211,95437,45696,9000,"flower|indian restaurant|tv station|valentine|valentine's day",12,"Color","Comedy|Romance",2010,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0817230/?ref_=fn_tt_tt_1",110476776,5.2e+07,5.7
"The Dark Knight Rises ",164,"Christopher Nolan",22000,"Tom Hardy",27000,"Christian Bale",23000,"Joseph Gordon-Levitt",23000,813,2701,1144337,106759,164000,"deception|imprisonment|lawlessness|police officer|terrorist plot",0,"Color","Action|Thriller",2012,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1",448130642,2.5e+08,8.5
"All the Real Girls ",108,"David Gordon Green",234,"Zooey Deschanel",11000,"Paul Schneider",552,"Shea Whigham",463,88,126,9233,12385,571,"best friend|lake|love|small town|womanizer",0,"Color","Drama|Romance",2003,"English","USA","R",2.35,"http://www.imdb.com/title/tt0299458/?ref_=fn_tt_tt_1",548712,2500000,6.9
"Nothing to Lose ",98,"Steve Oedekerk",176,"Kelly Preston",742,"Michael McKean",658,"Rebecca Gayheart",468,49,92,36253,2457,0,"boss|ghetto|money|robber|robbery",2,"Color","Action|Adventure|Comedy|Crime",1997,"English","USA","R",1.85,"http://www.imdb.com/title/tt0119807/?ref_=fn_tt_tt_1",44455658,2.5e+07,6.7
"The Shadow ",93,"Russell Mulcahy",85,"Jonathan Winters",924,"Peter Boyle",595,"John Kapelos",510,70,146,18723,2711,0,"1930s|bomb|city|invisibility|the shadow",0,"Color","Action|Adventure|Crime|Fantasy|Mystery|Thriller",1994,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0111143/?ref_=fn_tt_tt_1",32055248,2.5e+07,6
"Snow White and the Seven Dwarfs ",83,"William Cottrell",0,"Adriana Caselotti",82,"Billy Gilbert",47,"Lucille La Verne",31,145,204,133348,229,0,"dwarf|love|princess|queen|snow white",1,"Color","Animation|Family|Fantasy|Musical",1937,"English","USA","Approved",1.37,"http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1",184925485,2e+06,7.7
"It's Complicated ",120,"Nancy Meyers",278,"Meryl Streep",11000,"Hunter Parrish",2000,"Zoe Kazan",963,187,214,69860,15226,0,"affair|divorce|graduation|vomiting|watching television",2,"Color","Comedy|Drama|Romance",2009,"English","USA","R",1.85,"http://www.imdb.com/title/tt1230414/?ref_=fn_tt_tt_1",112703470,8.5e+07,6.6
"Mean Machine ",99,"Barry Skolnick",0,"Jason Statham",26000,"Jason Flemyng",1000,"Danny Dyer",798,54,84,29463,29325,0,"inmate|prison|prison guard|soccer|soccer star",1,"Color","Comedy|Drama|Sport",2001,"English","UK","R",1.85,"http://www.imdb.com/title/tt0291341/?ref_=fn_tt_tt_1",92191,2500000,6.5
"The Terminal ",128,"Steven Spielberg",14000,"Tom Hanks",15000,"Chi McBride",466,"Barry Shabaka Henley",232,151,596,303864,16199,16000,"airport|construction site|fish out of water|flight attendant|man without a country",0,"Color","Comedy|Drama",2004,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0362227/?ref_=fn_tt_tt_1",77032279,6e+07,7.3
"The Intern ",121,"Nancy Meyers",278,"Robert De Niro",22000,"Anne Hathaway",11000,"Rene Russo",808,241,304,130661,36010,54000,"reference to ben affleck|reference to brad pitt|reference to george clooney|reference to jack nicholson|website",2,"Color","Comedy|Drama",2015,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt2361509/?ref_=fn_tt_tt_1",75274748,3.5e+07,7.2
"Wonder Boys ",107,"Curtis Hanson",161,"Robert Downey Jr.",21000,"Rip Torn",826,"Richard Thomas",549,173,335,54643,22974,0,"based on novel|college girl|midlife crisis|pittsburgh pennsylvania|professor",5,"Color","Comedy|Drama",2000,"English","USA","R",2.35,"http://www.imdb.com/title/tt0185014/?ref_=fn_tt_tt_1",19389454,5.5e+07,7.4
"The BFG ",117,"Steven Spielberg",14000,"Mark Rylance",535,"Penelope Wilton",400,"Rafe Spall",358,252,106,12572,1950,27000,"cannibal|evil brother|giant|london england|queen",0,"Color","Adventure|Family|Fantasy",2016,"English","UK","PG",2.35,"http://www.imdb.com/title/tt3691740/?ref_=fn_tt_tt_1",52792307,1.4e+08,6.8
"Get on Up ",139,"Tate Taylor",150,"Tika Sumpter",521,"Josh Hopkins",491,"Aunjanue Ellis",400,165,104,15843,2060,11000,"1970s|1980s|african american|breaking the fourth wall|mother son relationship",0,"Color","Biography|Drama|Music",2014,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt2473602/?ref_=fn_tt_tt_1",30513940,3e+07,6.9
"Hamlet ",150,"Kenneth Branagh",0,"Julie Christie",597,"Brian Blessed",591,"Richard Briers",401,85,224,30618,1645,0,"classic literature|denmark|funeral|madness|prince",0,"Color","Drama",1996,"English","UK","PG-13",2.2,"http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1",4414535,1.8e+07,7.8
"Pride and Prejudice and Zombies ",108,"Burr Steers",23,"Matt Smith",2000,"Bella Heathcote",860,"Sam Riley",845,225,134,23775,4710,73000,"based on novel|damsel in distress|deception|england|zombie",0,"Color","Action|Horror|Romance",2016,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1374989/?ref_=fn_tt_tt_1",10907291,2.8e+07,5.8
"Tuck Everlasting ",90,"Jay Russell",13,"William Hurt",882,"Sissy Spacek",874,"Jonathan Jackson",613,69,127,17983,2661,0,"fountain of youth|immortality|secret|woods|young man",2,"Color","Drama|Family|Fantasy|Romance",2002,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0283084/?ref_=fn_tt_tt_1",19158074,1.5e+07,6.7
"Training Day ",122,"Antoine Fuqua",845,"Denzel Washington",18000,"Snoop Dogg",881,"Tom Berenger",854,109,633,305929,22370,0,"lapd|narc|narcotics|title spoken by character|training",2,"Color","Crime|Drama|Thriller",2001,"English","USA","R",2.35,"http://www.imdb.com/title/tt0139654/?ref_=fn_tt_tt_1",76261036,4.5e+07,7.7
"Into the Woods ",125,"Rob Marshall",252,"Johnny Depp",40000,"Meryl Streep",11000,"Anna Kendrick",10000,321,779,101178,62837,90000,"based on stage musical|cinderella|little red riding hood|singing|witch",1,"Color","Adventure|Comedy|Drama|Fantasy|Musical",2014,"English","USA","PG",2.39,"http://www.imdb.com/title/tt2180411/?ref_=fn_tt_tt_1",127997349,5e+07,6
"Transamerica ",103,"Duncan Tucker",2,"Kevin Zegers",2000,"Felicity Huffman",508,"Paul Borghese",226,169,230,36321,3192,0,"bail|male full frontal nudity|sex change|stepfather|transsexual",2,"Color","Adventure|Comedy|Drama",2005,"English","USA","R",1.85,"http://www.imdb.com/title/tt0407265/?ref_=fn_tt_tt_1",9013113,1e+06,7.4
"Resident Evil: Apocalypse ",98,"Alexander Witt",38,"Milla Jovovich",14000,"Thomas Kretschmann",919,"Mike Epps",706,191,672,151580,16791,0,"cover up|monster|strong female character|strong female lead|zombie apocalypse",1,"Color","Action|Horror|Sci-Fi|Thriller",2004,"English","Germany","R",2.35,"http://www.imdb.com/title/tt0318627/?ref_=fn_tt_tt_1",50740078,4.5e+07,6.2
"The Innkeepers ",101,"Ti West",243,"Lena Dunham",969,"Jake Ryan",128,"Pat Healy",74,292,247,27260,1252,0,"bathtub|dead body in a bathtub|dead body in bathtub|hotel|inn",0,"Color","Horror",2011,"English","USA","R",2.35,"http://www.imdb.com/title/tt1594562/?ref_=fn_tt_tt_1",77501,750000,5.5
"Darkness ",103,"Jaume Balagueró",57,"Lena Olin",541,"Giancarlo Giannini",451,"Francesc Pagès",132,108,349,16747,1228,1000,"9 year old|blood|gramophone|house|missing children",0,"Color","Horror",2002,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0273517/?ref_=fn_tt_tt_1",22160085,10600000,5.4
"28 Weeks Later ",100,"Juan Carlos Fresnadillo",35,"Jeremy Renner",10000,"Harold Perrineau",1000,"Catherine McCormack",306,274,713,212167,11471,0,"paris france|rage|sniper|u.s. army|zombie apocalypse",1,"Color","Drama|Horror|Sci-Fi",2007,"English","UK","R",1.85,"http://www.imdb.com/title/tt0463854/?ref_=fn_tt_tt_1",28637507,1.5e+07,7
"Peggy Sue Got Married ",103,"Francis Ford Coppola",0,"Nicolas Cage",12000,"Kathleen Turner",899,"Joan Allen",805,44,96,27149,14672,0,"alternate history|alternate timeline|divorce|high school|reunion",0,"Color","Comedy|Drama|Fantasy|Romance",1986,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0091738/?ref_=fn_tt_tt_1",41382841,1.8e+07,6.3
"Secretary ",104,"Steven Shainberg",30,"Jeremy Davies",769,"Stephen McHattie",413,"Lesley Ann Warren",296,163,390,67949,2251,15000,"bdsm|employer employee relationship|hospital|mental hospital|secretary",1,"Color","Comedy|Drama|Romance",2002,"English","USA","R",1.85,"http://www.imdb.com/title/tt0274812/?ref_=fn_tt_tt_1",4046737,4e+06,7.1
"Bullets Over Broadway ",98,"Woody Allen",11000,"Jim Broadbent",1000,"Chazz Palminteri",979,"Dianne Wiest",967,67,86,29385,4302,979,"actress|bodyguard|new york city|play|playwright",4,"Color","Comedy|Crime",1994,"English","USA","R",1.85,"http://www.imdb.com/title/tt0109348/?ref_=fn_tt_tt_1",13383737,2e+07,7.5
"Molière ",120,"Laurent Tirard",2,"Romain Duris",809,"Ludivine Sagnier",521,"Fabrice Luchini",80,78,27,5166,1651,815,"deathbed|play|playwright|prison|theater",1,"Color","Comedy|History",2007,"French","France","PG-13",2.35,"http://www.imdb.com/title/tt0796335/?ref_=fn_tt_tt_1",634277,1.6e+07,7.3
"Walking Tall ",86,"Kevin Bray",10,"Dwayne Johnson",12000,"Ashley Scott",795,"Michael Bowen",348,117,221,53118,14146,0,"casino|football|sheriff|special forces|violence",1,"Color","Action|Crime",2004,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0351977/?ref_=fn_tt_tt_1",45860039,5.6e+07,6.2
"Chéri ",100,"Stephen Frears",350,"Tom Burke",201,"Iben Hjejle",123,"Gaye Brown",30,155,43,8924,365,0,"age difference|courtesan|mansion|marriage|prostitute",1,"Color","Comedy|Drama|Romance",2009,"English","UK","R",2.35,"http://www.imdb.com/title/tt1179258/?ref_=fn_tt_tt_1",2708188,2.3e+07,6.2
"Hannah Montana: The Movie ",102,"Peter Chelsom",23,"Emily Osment",1000,"Vanessa Williams",1000,"Moises Arias",635,131,140,31760,4516,0,"farm|female protagonist|hannah montana|horseback riding|overalls",2,"Color","Comedy|Drama|Family|Music|Romance",2009,"English","USA","G",1.85,"http://www.imdb.com/title/tt1114677/?ref_=fn_tt_tt_1",79566871,3e+07,4.2
"The Robe ",135,"Henry Koster",28,"Richard Burton",726,"Jean Simmons",422,"Victor Mature",275,42,69,6359,1920,0,"box office hit|crucifixion|nightmare|palestine|robe",1,"Color","Drama|History",1953,"English","USA","Unrated",2.2,"http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1",36000000,5e+06,6.8
"Veer-Zaara ",192,"Yash Chopra",147,"Shah Rukh Khan",8000,"Preity Zinta",860,"Anupam Kher",397,29,119,34449,9984,2000,"fair|pakistan|prison|rescue|stranded",0,"Color","Drama|Musical|Romance",2004,"Hindi","India","",2.35,"http://www.imdb.com/title/tt0420332/?ref_=fn_tt_tt_1",2921738,7e+06,7.9
"Sinister ",110,"Scott Derrickson",301,"Danielle Kotch",1000,"Victoria Leigh",419,"James Ransone",412,411,524,155153,2239,58000,"book|found footage|research|snuff film|writer",0,"Color","Horror|Mystery",2012,"English","USA","R",2.35,"http://www.imdb.com/title/tt1922777/?ref_=fn_tt_tt_1",48056940,3e+06,6.8
"Sarah's Key ",111,"Gilles Paquet-Brenner",15,"Kristin Scott Thomas",1000,"Aidan Quinn",767,"Arben Bajraktaraj",121,136,73,12937,2140,0,"apartment|escape|jewish family|journalist|key",2,"Color","Drama|War",2010,"French","France","PG-13",2.35,"http://www.imdb.com/title/tt1668200/?ref_=fn_tt_tt_1",7691700,1e+07,7.5
"Paris, je t'aime ",120,"Olivier Assayas",107,"Steve Buscemi",12000,"Miranda Richardson",530,"Catalina Sandino Moreno",280,165,123,63084,13208,0,"baby|divorce|oscar wilde|pigalle|tourist",0,"Color","Comedy|Drama|Romance",2006,"French","France","R",1.85,"http://www.imdb.com/title/tt0401711/?ref_=fn_tt_tt_1",4857376,1.3e+07,7.3
"Away We Go ",98,"Sam Mendes",0,"Catherine O'Hara",925,"Jim Gaffigan",472,"Carmen Ejogo",374,217,115,45992,1997,7000,"baby|children|friend|love|road trip",2,"Color","Comedy|Drama|Romance",2009,"English","USA","R",2.35,"http://www.imdb.com/title/tt1176740/?ref_=fn_tt_tt_1",9430988,1.7e+07,7.1
