"","movie_title","duration","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","num_critic_for_reviews","num_user_for_reviews","num_voted_users","cast_total_facebook_likes","movie_facebook_likes","plot_keywords","facenumber_in_poster","color","genres","title_year","language","country","content_rating","aspect_ratio","movie_imdb_link","gross","budget","imdb_score","ROE","ROE_B","ROI","scs"
"143","The Jungle Book ",106,"Jon Favreau",4000,"Scarlett Johansson",19000,"Bill Murray",13000,"Garry Shandling",591,370,398,106221,32921,65000,"fire|jungle|remake|tiger|wolf",0,"Color","Adventure|Drama|Family|Fantasy",2016,"English","UK","PG",1.85,"http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1",362645141,175000000,7.8,1.07,1,1.07225794857143,1
"146","Splash ",111,"Ron Howard",2000,"Tom Hanks",15000,"Howard Morris",161,"Patrick Cronin",51,43,99,54723,15361,0,"cmnf|cmnf scene|mermaid|new york city|public nudity",2,"Color","Comedy|Fantasy|Romance",1984,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0088161/?ref_=fn_tt_tt_1",69800000,8000000,6.2,7.73,1,7.725,1
"148","The Princess Diaries 2: Royal Engagement ",113,"Garry Marshall",0,"Anne Hathaway",11000,"Raven-Symoné",1000,"Hector Elizondo",995,77,152,53687,15362,1000,"coronation|horse|princess|queen|side saddle",2,"Color","Comedy|Family|Romance",2004,"English","USA","G",1.85,"http://www.imdb.com/title/tt0368933/?ref_=fn_tt_tt_1",95149435,40000000,5.7,1.38,1,1.378735875,1
"151","Return to Never Land ",72,"Robin Budd",2,"Roger Rees",1000,"Rob Paulsen",677,"Spencer Breslin",434,80,79,13324,3402,302,"1940s|gang that lives together|outlaw gang|rescue|sequel",1,"Color","Adventure|Animation|Family|Fantasy",2002,"English","USA","G",1.66,"http://www.imdb.com/title/tt0280030/?ref_=fn_tt_tt_1",48423368,20000000,5.8,1.42,1,1.4211684,1
"152","Nebraska ",115,"Alexander Payne",729,"Devin Ratray",1000,"Bruce Dern",844,"Will Forte",622,433,274,91082,3798,28000,"aging|billings montana|lincoln nebraska|nebraska|pickup truck",0," Black and White","Adventure|Comedy|Drama",2013,"English","USA","R",2.35,"http://www.imdb.com/title/tt1821549/?ref_=fn_tt_tt_1",17613460,12000000,7.8,0.47,0,0.467788333333333,0
"156","Diary of a Wimpy Kid: Rodrick Rules ",99,"David Bowers",42,"Zachary Gordon",975,"Rachael Harris",569,"Fran Kranz",557,103,45,18727,3567,0,"brother|middle school|no opening credits|photograph|school",2,"Color","Comedy|Family",2011,"English","USA","PG",2.35,"http://www.imdb.com/title/tt1650043/?ref_=fn_tt_tt_1",52691009,21000000,6.6,1.51,1,1.50909566666667,1
"157","Glee: The 3D Concert Movie ",84,"Kevin Tancharoen",64,"Lea Michele",2000,"Heather Morris",892,"Kevin McHale",748,67,21,5156,4617,0,"concert|live in concert recording|live performance",0,"Color","Documentary|Music",2011,"English","USA","PG",1.85,"http://www.imdb.com/title/tt1922612/?ref_=fn_tt_tt_1",11860839,9000000,5.4,0.32,0,0.317871,0
"159","The Twilight Saga: Breaking Dawn - Part 2 ",115,"Bill Condon",386,"Robert Pattinson",21000,"Kristen Stewart",17000,"Taylor Lautner",12000,322,329,185394,59177,65000,"battle|friend|super strength|vampire|vision",3,"Color","Adventure|Drama|Fantasy|Romance",2012,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1",292298923,120000000,5.5,1.44,1,1.43582435833333,1
"161","Wall Street ",126,"Oliver Stone",0,"Hal Holbrook",826,"Tamara Tunie",508,"James Karen",168,114,219,119150,1607,0,"1980s|argument|critique of capitalism|f word|fired from the job",2,"Color","Crime|Drama",1987,"English","USA","R",1.85,"http://www.imdb.com/title/tt0094291/?ref_=fn_tt_tt_1",43848100,15000000,7.4,1.92,1,1.92320666666667,1
"164","Down to Earth ",87,"Chris Weitz",129,"Chazz Palminteri",979,"Mark Addy",891,"Wanda Sykes",560,61,122,19079,2911,602,"angel|butler|heaven|manhattan new york city|reincarnation",1,"Color","Comedy|Fantasy",2001,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0231775/?ref_=fn_tt_tt_1",64172251,30000000,5.4,1.14,1,1.13907503333333,1
"165","Capote ",110,"Bennett Miller",152,"Philip Seymour Hoffman",22000,"Michael J. Burg",68,"Kwesi Ameyaw",27,271,416,100571,22140,0,"book|holcomb kansas|kansas|killer|truman capote",1,"Color","Biography|Crime|Drama",2005,"English","Canada","R",2.35,"http://www.imdb.com/title/tt0379725/?ref_=fn_tt_tt_1",28747570,7000000,7.4,3.11,1,3.10679571428571,1
"168","The Best Exotic Marigold Hotel ",124,"John Madden",108,"Tom Wilkinson",1000,"Penelope Wilton",400,"Celia Imrie",186,264,266,75306,1898,48000,"hotel|india|marigold|retiree|retirement",3,"Color","Comedy|Drama",2011,"English","UK","PG-13",2.35,"http://www.imdb.com/title/tt1412386/?ref_=fn_tt_tt_1",46377022,10000000,7.3,3.64,1,3.6377022,1
"173","American Graffiti ",112,"George Lucas",0,"Harrison Ford",11000,"Ron Howard",2000,"Mackenzie Phillips",425,100,238,63839,14954,0,"california|car|drag racing|high school|rock 'n' roll",1,"Color","Comedy|Drama|Music",1973,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0069704/?ref_=fn_tt_tt_1",115000000,777000,7.5,147.01,1,147.005148005148,1
"175","The Shaggy Dog ",98,"Brian Robbins",48,"Robert Downey Jr.",21000,"Joel David Moore",936,"Kristin Davis",722,76,83,14888,24664,747,"animal as human|dog movie|elevator|human becoming an animal|sheepdog",0,"Color","Comedy|Family|Fantasy",2006,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0393735/?ref_=fn_tt_tt_1",61112916,50000000,4.4,0.22,0,0.22225832,0
"177","Brave ",93,"Mark Andrews",56,"Kelly Macdonald",2000,"John Ratzenberger",1000,"Julie Walters",838,488,428,273556,5005,39000,"archery|coming of age|female warrior|princess|rebellious daughter",0,"Color","Adventure|Animation|Comedy|Family|Fantasy",2012,"English","USA","PG",2.35,"http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1",237282182,185000000,7.2,0.28,0,0.282606389189189,0
"180","In the Bedroom ",138,"Todd Field",143,"Tom Wilkinson",1000,"Sissy Spacek",874,"Karen Allen",783,179,510,32415,3970,951,"doctor|maine|only son|school choir|summer",1,"Color","Crime|Drama",2001,"English","USA","R",2.35,"http://www.imdb.com/title/tt0247425/?ref_=fn_tt_tt_1",35918429,1700000,7.5,20.13,1,20.1284876470588,1
"181","Wild ",115,"Jean-Marc Vallée",212,"Michiel Huisman",2000,"Kevin Rankin",820,"Gaby Hoffmann",612,349,252,86664,4896,38000,"female protagonist|grief|hiking|loss of mother|mother daughter relationship",1,"Color","Adventure|Biography|Drama",2014,"English","USA","R",2.35,"http://www.imdb.com/title/tt2305051/?ref_=fn_tt_tt_1",37877959,15000000,7.1,1.53,1,1.52519726666667,1
"182","The Haunting of Molly Hartley ",82,"Mickey Liddell",7,"Jessica Lowndes",1000,"Randy Wayne",984,"Haley Bennett",664,74,113,7904,4856,562,"18th birthday|birthday|community center|resurrection|teenager",5,"Color","Drama|Horror|Thriller",2008,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1",13350177,5000000,3.8,1.67,1,1.6700354,1
"183","Monsoon Wedding ",114,"Mira Nair",300,"Naseeruddin Shah",307,"Randeep Hooda",209,"Lillete Dubey",73,137,214,19397,809,0,"arranged marriage|bride|celebration|marriage|wedding",0,"Color","Comedy|Drama|Romance",2001,"Hindi","India","R",1.85,"http://www.imdb.com/title/tt0265343/?ref_=fn_tt_tt_1",13876974,7000000,7.4,0.98,1,0.982424857142857,0
"184","You, Me and Dupree ",110,"Anthony Russo",94,"Todd Stashwick",277,"Billy Gardell",245,"Amanda Detmer",240,136,195,68417,847,0,"best friend|foot fetish|houseguest|newlywed|wedding",1,"Color","Comedy|Romance",2006,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0463034/?ref_=fn_tt_tt_1",75604320,54000000,5.6,0.4,0,0.40008,0
"190","A Low Down Dirty Shame ",100,"Keenen Ivory Wayans",322,"Jada Pinkett Smith",851,"Salli Richardson-Whitfield",543,"Charles S. Dutton",534,8,26,3924,3190,368,"drugs|ex cop|gun fu|machismo|shootout",2,"Color","Action|Comedy|Crime",1994,"English","USA","R",1.85,"http://www.imdb.com/title/tt0110399/?ref_=fn_tt_tt_1",29392418,10000000,5.8,1.94,1,1.9392418,1
"194","Not Another Teen Movie ",99,"Joel Gallen",11,"Chris Evans",11000,"JoAnna Garcia Swisher",983,"Mia Kirshner",971,97,393,80305,15369,0,"cheerleader|foreign exchange student|incestuous desire|incestuous kiss|prom",0,"Color","Comedy",2001,"English","USA","R",1.85,"http://www.imdb.com/title/tt0277371/?ref_=fn_tt_tt_1",37882551,16000000,5.7,1.37,1,1.3676594375,1
"195","Evil Dead ",96,"Fede Alvarez",201,"Lou Taylor Pucci",394,"Elizabeth Blackmore",150,"Ellen Sandweiss",58,543,789,125016,673,70000,"book of the dead|demon|h.p. lovecraft|lesbian kiss|promise",0,"Color","Horror",2013,"English","USA","R",2.35,"http://www.imdb.com/title/tt1288558/?ref_=fn_tt_tt_1",54239856,17000000,6.5,2.19,1,2.19057976470588,1
"196","Begin Again ",104,"John Carney",109,"James Corden",480,"Karen Pittman",12,"Mary Catherine Garrison",7,283,182,99430,517,43000,"manhattan new york city|new york city|record label|singer|song",1,"Color","Drama|Music",2013,"English","USA","R",1.85,"http://www.imdb.com/title/tt1980929/?ref_=fn_tt_tt_1",16168741,8000000,7.4,1.02,1,1.021092625,1
"198","Brooklyn's Finest ",132,"Antoine Fuqua",847,"Don Cheadle",3000,"Lili Taylor",960,"Armando Riesco",625,197,138,52852,6317,4000,"catholic|corrupt cop|new york city|police detective|police officer killed",1,"Color","Crime|Drama|Thriller",2009,"English","USA","R",2.35,"http://www.imdb.com/title/tt1210042/?ref_=fn_tt_tt_1",27154426,17000000,6.7,0.6,1,0.597319176470588,0
"203","Nacho Libre ",92,"Jared Hess",100,"Ana de la Reguera",678,"Moises Arias",635,"Héctor Jiménez",327,163,441,65551,1729,0,"lucha libre|monastery|nun|orphan|wrestling",1,"Color","Comedy|Family|Sport",2006,"English","Germany","PG",1.85,"http://www.imdb.com/title/tt0457510/?ref_=fn_tt_tt_1",80197993,32000000,5.7,1.51,1,1.50618728125,1
"204","Charlie and the Chocolate Factory ",115,"Tim Burton",13000,"Johnny Depp",40000,"Christopher Lee",16000,"David Kelly",588,276,1361,320284,57844,0,"chocolate|diminution|miniaturization|physical flexability|ticket",3,"Color","Adventure|Comedy|Family|Fantasy",2005,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1",206456431,150000000,6.7,0.38,0,0.376376206666667,0
"205","Devil ",80,"John Erick Dowdle",66,"Bojana Novakovic",2000,"Bokeem Woodbine",904,"Geoffrey Arend",816,273,319,104089,5628,16000,"devil|elevator|hit and run|throat slitting|trapped in an elevator",0,"Color","Horror|Mystery|Thriller",2010,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1314655/?ref_=fn_tt_tt_1",33583175,10000000,6.3,2.36,1,2.3583175,1
"210","Jeepers Creepers II ",104,"Victor Salva",108,"Nicki Aycox",296,"Jonathan Breck",270,"Billy Aaron Brown",177,167,316,45102,1340,0,"cheerleader|farmer|fear|high school basketball|nightmare",0,"Color","Horror",2003,"English","USA","R",2.35,"http://www.imdb.com/title/tt0301470/?ref_=fn_tt_tt_1",35143332,17000000,5.6,1.07,1,1.06725482352941,1
"211","The Color Purple ",154,"Steven Spielberg",14000,"Oprah Winfrey",852,"Rae Dawn Chong",581,"Dana Ivey",271,70,199,60988,2592,6000,"book strap|girl|racial discrimination|racial tension|stereotype",0,"Color","Drama",1985,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0088939/?ref_=fn_tt_tt_1",94175854,15000000,7.8,5.28,1,5.27839026666667,1
"216","The Big Short ",130,"Adam McKay",285,"Ryan Gosling",33000,"Christian Bale",23000,"Charlie Talbert",767,426,374,182983,57308,99000,"bank|banking|finance|fraud|mortgage",4,"Color","Biography|Comedy|Drama|History",2015,"English","USA","R",2.35,"http://www.imdb.com/title/tt1596363/?ref_=fn_tt_tt_1",70235322,28000000,7.8,1.51,1,1.50840435714286,1
"220","The Good Girl ",93,"Miguel Arteta",44,"Jake Gyllenhaal",15000,"Zooey Deschanel",11000,"Tim Blake Nelson",596,107,298,37952,27646,938,"dysfunctional marriage|marijuana|small town|store|trying to conceive",3,"Color","Drama|Romance",2002,"English","USA","R",1.85,"http://www.imdb.com/title/tt0279113/?ref_=fn_tt_tt_1",14015786,5000000,6.5,1.8,1,1.8031572,1
"221","The Hunger Games: Mockingjay - Part 1 ",123,"Francis Lawrence",508,"Jennifer Lawrence",34000,"Philip Seymour Hoffman",22000,"Josh Hutcherson",14000,403,591,305008,81385,52000,"based on young adult novel|manipulation|rebellion|symbol|uprising",1,"Color","Adventure|Sci-Fi|Thriller",2014,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1951265/?ref_=fn_tt_tt_1",337103873,125000000,6.7,1.7,1,1.696830984,1
"222","Super 8 ",112,"J.J. Abrams",14000,"Joel Courtney",1000,"AJ Michalka",560,"Zach Mills",417,539,849,287822,3388,37000,"deputy|group of friends|time|train|train crash",0,"Color","Mystery|Sci-Fi|Thriller",2011,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1650062/?ref_=fn_tt_tt_1",126975169,50000000,7.1,1.54,1,1.53950338,1
"226","12 Years a Slave ",134,"Steve McQueen",0,"Quvenzhané Wallis",2000,"Scoot McNairy",660,"Taran Killam",500,597,695,439176,4251,83000,"racism|separation from family|social injustice|torture|whipping",0,"Color","Biography|Drama|History",2013,"English","USA","R",2.35,"http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1",56667870,20000000,8.1,1.83,1,1.8333935,1
"229","10 Cloverfield Lane ",104,"Dan Trachtenberg",16,"Bradley Cooper",14000,"John Gallagher Jr.",338,"Sumalee Montano",82,411,440,126893,14504,33000,"alien|bunker|car crash|kidnapping|minimal cast",0,"Color","Drama|Horror|Mystery|Sci-Fi|Thriller",2016,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1",71897215,15000000,7.3,3.79,1,3.79314766666667,1
"230","The Purge ",85,"James DeMonaco",65,"Rhys Wakefield",942,"Adelaide Kane",810,"Chris Mulkey",535,361,578,139329,3708,31000,"class differences|killing spree|one night|suburb|violence",0,"Color","Horror|Sci-Fi|Thriller",2013,"English","USA","R",2.35,"http://www.imdb.com/title/tt2184339/?ref_=fn_tt_tt_1",64423650,3000000,5.7,20.47,1,20.47455,1
"235","A Serious Man ",106,"Ethan Coen",1000,"Michael Stuhlbarg",816,"Fred Melamed",105,"Peter Breitmayer",98,341,324,102125,1120,10000,"bar mitzvah|jewish|marital breakup|nose job|rabbi",1,"Color","Comedy|Drama",2009,"English","USA","R",1.85,"http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1",9190525,7000000,7,0.31,0,0.312932142857143,0
"240","Do the Right Thing ",120,"Spike Lee",0,"Ruby Dee",782,"John Savage",652,"Danny Aiello",388,103,418,59524,2892,0,"black militant|frustration|pizza|pizza parlor|pizzeria",2,"Color","Drama",1989,"English","USA","R",1.85,"http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1",27545445,6500000,7.9,3.24,1,3.23776076923077,1
"241","Scary Movie 5 ",88,"Malcolm D. Lee",92,"Marisa Saks",31000,"Snoop Dogg",881,"Molly Shannon",636,153,177,50337,34319,13000,"2010s|ape|ballet|psychic|supernatural",8,"Color","Comedy",2013,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0795461/?ref_=fn_tt_tt_1",32014289,20000000,3.5,0.6,1,0.60071445,0
"242","Before Sunset ",80,"Richard Linklater",0,"Vernon Dobtcheff",50,"Albert Delpy",8,"Marie Pillet",3,211,492,168398,65,13000,"book|bookstore|love|simultaneity|train",0,"Color","Drama|Romance",2004,"English","USA","R",1.85,"http://www.imdb.com/title/tt0381681/?ref_=fn_tt_tt_1",5792822,2700000,8,1.15,1,1.14548962962963,1
"243","Anacondas: The Hunt for the Blood Orchid ",97,"Dwight H. Little",27,"Nicholas Gonzalez",601,"Salli Richardson-Whitfield",543,"Johnny Messner",522,94,144,22243,2730,686,"anaconda|blood|borneo|flower|orchid",0,"Color","Action|Adventure|Horror|Thriller",2004,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0366174/?ref_=fn_tt_tt_1",31526393,25000000,4.6,0.26,0,0.26105572,0
"249","About Time ",123,"Richard Curtis",628,"Tom Hughes",565,"Tom Hollander",555,"Lindsay Duncan",171,274,391,202341,1595,105000,"boyfriend girlfriend relationship|lingerie slip|time travel|time travel romance|wedding",1,"Color","Drama|Fantasy|Romance",2013,"English","UK","R",2.35,"http://www.imdb.com/title/tt2194499/?ref_=fn_tt_tt_1",15294553,12000000,7.8,0.27,0,0.274546083333333,0
"254","Scary Movie 2 ",83,"Keenen Ivory Wayans",322,"Natasha Lyonne",1000,"Veronica Cartwright",422,"Andy Richter",179,127,548,119590,1645,0,"blow job|demon|exorcism|priest|professor",7,"Color","Comedy",2001,"English","USA","R",1.85,"http://www.imdb.com/title/tt0257106/?ref_=fn_tt_tt_1",71277420,45000000,5.2,0.58,1,0.583942666666667,0
"258","Identity ",91,"James Mangold",446,"Clea DuVall",1000,"Rebecca De Mornay",872,"Jake Busey",660,136,714,177828,3969,11000,"dissociative identity disorder|motel room key|murder|storm|stranded",0,"Color","Mystery|Thriller",2003,"English","USA","R",2.35,"http://www.imdb.com/title/tt0309698/?ref_=fn_tt_tt_1",51475962,30000000,7.3,0.72,1,0.7158654,0
"260","Conan the Barbarian ",129,"John Milius",468,"William Smith",919,"Mako",691,"Sandahl Bergman",183,166,337,113065,2024,0,"actual animal killed|cult|evil sorcerer|gladiator|warlord",0,"Color","Adventure|Fantasy",1982,"English","USA","R",2.35,"http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1",37567440,20000000,6.9,0.88,1,0.878372,0
"262","Nanny McPhee ",97,"Kirk Jones",52,"Colin Firth",14000,"Kelly Macdonald",2000,"Imelda Staunton",579,128,181,49676,17278,0,"father|governess|magic|nanny|widower",0,"Color","Comedy|Family|Fantasy",2005,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0396752/?ref_=fn_tt_tt_1",47124400,25000000,6.6,0.88,1,0.884976,0
"263","Saw VI ",92,"Kevin Greutert",52,"Costas Mandylor",723,"Shawnee Smith",651,"George Newbern",647,156,194,76207,3101,0,"deception|flash photography|game of death|jigsaw|pig mask",0,"Color","Horror|Mystery",2009,"English","Canada","R",1.85,"http://www.imdb.com/title/tt1233227/?ref_=fn_tt_tt_1",27669413,11000000,6,1.52,1,1.51540118181818,1
"264","Gridiron Gang ",125,"Phil Joanou",21,"Dwayne Johnson",12000,"Jurnee Smollett-Bell",2000,"Kevin Dunn",581,85,134,33067,15811,0,"alliterative title|football|football coach|football practice|football team",1,"Color","Crime|Drama|Sport",2006,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0421206/?ref_=fn_tt_tt_1",38432823,30000000,6.9,0.28,0,0.2810941,0
"267","Prisoners ",153,"Denis Villeneuve",777,"Hugh Jackman",20000,"Jake Gyllenhaal",15000,"Dylan Minnette",1000,454,620,383591,37321,86000,"child abduction|detective|investigation|police|sex offender",2,"Color","Crime|Drama|Mystery|Thriller",2013,"English","USA","R",1.85,"http://www.imdb.com/title/tt1392214/?ref_=fn_tt_tt_1",60962878,46000000,8.1,0.33,0,0.325279956521739,0
"269","El crimen del padre Amaro ",118,"Carlos Carrera",12,"Damián Alcázar",201,"Ana Claudia Talancón",163,"Pedro Armendáriz Jr.",67,85,110,11088,546,544,"church|love|mexico|politics|priest",0,"Color","Drama|Romance",2002,"Spanish","Mexico","R",1.85,"http://www.imdb.com/title/tt0313196/?ref_=fn_tt_tt_1",5709616,1800000,6.8,2.17,1,2.17200888888889,1
"271","The Lego Movie ",100,"Phil Lord",97,"Morgan Freeman",11000,"Will Ferrell",8000,"Alison Brie",2000,435,471,246698,22128,64000,"based on toy|dual personality|evil businessman|good cop bad cop|lego",0,"Color","Action|Adventure|Animation|Comedy|Family|Fantasy",2014,"English","Australia","PG",2.35,"http://www.imdb.com/title/tt1490017/?ref_=fn_tt_tt_1",257756197,60000000,7.8,3.3,1,3.29593661666667,1
"272","Clockstoppers ",94,"Jonathan Frakes",906,"Michael Biehn",2000,"Paula Garcés",587,"Jason George",528,69,94,11212,3917,874,"frozen time|stopped time|time freeze|watch|wristwatch",0,"Color","Action|Adventure|Comedy|Sci-Fi|Thriller",2002,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0157472/?ref_=fn_tt_tt_1",36985501,26000000,5.2,0.42,0,0.422519269230769,0
"274","The Words ",102,"Brian Klugman",49,"J.K. Simmons",24000,"Bradley Cooper",14000,"Olivia Wilde",10000,216,130,59637,51355,21000,"american in paris|book|love|novel|writer",1,"Color","Drama|Mystery|Romance|Thriller",2012,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1",11434867,6000000,7.1,0.91,1,0.905811166666667,0
"276","Space Cowboys ",130,"Clint Eastwood",16000,"Clint Eastwood",16000,"Courtney B. Vance",495,"William Devane",416,169,326,60165,17771,0,"nasa|old age|satellite|space|space shuttle",1," Black and White","Action|Adventure|Thriller",2000,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0186566/?ref_=fn_tt_tt_1",90454043,65000000,6.4,0.39,0,0.391600661538462,0
"278","Jumping the Broom ",112,"Salim Akil",70,"Gary Dourdan",1000,"Loretta Devine",912,"Laz Alonso",826,52,59,7973,5959,0,"martha's vineyard|mother|older woman younger man relationship|wedding|weekend",8,"Color","Comedy|Drama",2011,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1640484/?ref_=fn_tt_tt_1",37295394,6600000,5.7,4.65,1,4.65081727272727,1
"282","Bridge of Spies ",142,"Steven Spielberg",14000,"Tom Hanks",15000,"Mark Rylance",535,"Amy Ryan",423,459,355,178118,16944,55000,"cia|cold war|lawyer|negotiation|spy",0,"Color","Drama|History|Thriller",2015,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt3682448/?ref_=fn_tt_tt_1",72306065,40000000,7.6,0.81,1,0.807651625,0
"283","The Waterboy ",90,"Frank Coraci",153,"Adam Sandler",11000,"Clint Howard",1000,"Peter Dante",427,108,300,119450,13823,0,"coach|college|college football|domineering mother|football",0," Black and White","Comedy|Sport",1998,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0120484/?ref_=fn_tt_tt_1",161487252,20000000,6.1,7.07,1,7.0743626,1
"284","Why Did I Get Married Too? ",121,"Tyler Perry",0,"Michael Jai White",2000,"Cicely Tyson",907,"Tasha Smith",721,40,68,7664,6657,0,"question mark in title|returning character killed off|sequel|six word title|writer director",8,"Color","Comedy|Drama|Romance",2010,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1391137/?ref_=fn_tt_tt_1",60072596,20000000,4.4,2,1,2.0036298,1
"285","Waltz with Bashir ",90,"Ari Folman",56,"Ari Folman",56,"Ronny Dayag",0,"Zahava Solomon",0,231,156,46107,56,0,"bar|dog|interview|lebanon|nightmare",0,"Color","Animation|Biography|Documentary|Drama|History|War",2008,"Hebrew","Israel","R",1.85,"http://www.imdb.com/title/tt1185616/?ref_=fn_tt_tt_1",2283276,1500000,8,0.52,1,0.522184,0
"286","Diner ",110,"Barry Levinson",272,"Steve Guttenberg",801,"Daniel Stern",796,"Ellen Barkin",551,42,87,14995,2943,0,"baltimore colts|diner|marriage|salesman|wedding",6,"Color","Comedy|Drama",1982,"English","USA","R",1.85,"http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1",14100000,5000000,7.2,1.82,1,1.82,1
"287","Step Up ",104,"Anne Fletcher",98,"Channing Tatum",17000,"Alyson Stoner",2000,"Josh Henderson",920,107,271,90938,21380,0,"dance|dancer|school|showcase|student",0,"Color","Crime|Drama|Music|Romance",2006,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0462590/?ref_=fn_tt_tt_1",65269010,12000000,6.5,4.44,1,4.43908416666667,1
"288","Christmas with the Kranks ",99,"Joe Roth",148,"Jamie Lee Curtis",2000,"Cheech Marin",843,"Jake Busey",660,105,209,27548,6729,0,"act of kindness|christmas|christmas eve|neighbor|vacation",1,"Color","Comedy|Family",2004,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0388419/?ref_=fn_tt_tt_1",73701902,60000000,5.2,0.23,0,0.228365033333333,0
"291","Honey ",94,"Bille Woodruff",23,"Christian Monzon",2000,"Mekhi Phifer",1000,"Romeo Miller",582,97,144,36666,4868,0,"choreographer|dance|dancer|dancing|hip hop",2,"Color","Drama|Music|Romance",2003,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0322589/?ref_=fn_tt_tt_1",30222640,25000000,5.3,0.21,0,0.2089056,0
"294","Vacation ",99,"John Francis Daley",0,"Chris Hemsworth",26000,"Norman Reedus",12000,"Beverly D'Angelo",816,204,219,66123,40312,28000,"amusement park|dysfunctional family|road trip|sequel|vacation",4,"Color","Adventure|Comedy",2015,"English","USA","R",2.35,"http://www.imdb.com/title/tt1524930/?ref_=fn_tt_tt_1",58879132,31000000,6.1,0.9,1,0.899326838709677,0
"296","Where the Heart Is ",120,"Matt Williams",18,"Natalie Portman",20000,"James Frain",1000,"Stockard Channing",944,78,240,27044,22383,0,"birth|oklahoma|photographer|tennessee|wal mart",2,"Color","Comedy|Drama|Romance",2000,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0198021/?ref_=fn_tt_tt_1",33771174,15000000,6.8,1.25,1,1.2514116,1
"297","The Grudge ",98,"Takashi Shimizu",70,"Sarah Michelle Gellar",4000,"Clea DuVall",1000,"Ted Raimi",634,203,911,115050,7461,4000,"american|curse|japan|nurse|rage",0,"Color","Horror|Mystery|Thriller",2004,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0391198/?ref_=fn_tt_tt_1",110175871,10000000,5.9,10.02,1,10.0175871,1
"299","Maurice ",140,"James Ivory",133,"Rupert Graves",443,"Denholm Elliott",249,"Simon Callow",239,29,69,10755,1269,963,"homosexuality|love|male full frontal nudity|male rear nudity|one word title",1,"Color","Drama|Romance",1987,"English","UK","R",1.66,"http://www.imdb.com/title/tt0093512/?ref_=fn_tt_tt_1",3130592,2600000,7.8,0.2,0,0.204073846153846,0
"300","The Smurfs ",103,"Raja Gosnell",67,"Mahadeo Shivraj",383,"Tim Gunn",113,"Madison McKinley",111,172,153,66593,692,31000,"blue|new york|new york city|no opening credits|smurf",3,"Color","Adventure|Animation|Comedy|Family|Fantasy",2011,"English","USA","PG",1.78,"http://www.imdb.com/title/tt0472181/?ref_=fn_tt_tt_1",142614158,110000000,5.5,0.3,0,0.296492345454545,0
"302","Monster-in-Law ",101,"Robert Luketic",126,"Adam Scott",3000,"Jane Fonda",949,"Elaine Stritch",586,132,228,43358,6292,0,"breakdown|fight|mother in law|scheme|wedding",0,"Color","Comedy|Romance",2005,"English","Germany","PG-13",2.35,"http://www.imdb.com/title/tt0369735/?ref_=fn_tt_tt_1",82931301,60000000,5.5,0.38,0,0.38218835,0
